PRIMARY_SSIC_DESCRIPTION,PREDICTED_L1,CONFIDENCE
WHOLESALE OF COMPUTER HARDWARE AND PERIPHERAL EQUIPMENT (EXCEPT CYBERSECURITY RELATED HARDWARE AND PERIPHERAL EQUIPMENT),Business Supplies & Equipment,0.6359238624572754
REPRESENTATIVE OFFICES OF FOREIGN INSURERS AND PROFESSIONAL REINSURERS,Insurance,0.47948992252349854
RENTING AND LEASING OF PRIVATE CARS WITHOUT DRIVER (EXCLUDING ONLINE MARKETPLACES),Automotive,0.2661858797073364
DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),Program Development,0.6258796453475952
COMMUNITY DEVELOPMENT COUNCILS AND GRASSROOTS ORGANISATIONS,Civic & Social Organization,0.593897819519043
MANUFACTURE OF ELECTRIC POWER CABLES AND WIRES,Electrical and Electronics,0.5375708341598511
HUMAN RESOURCE CONSULTANCY SERVICES,Human Resources,0.7074140906333923
"MANUFACTURE OF NON-STRUCTURAL PRE-CAST COMPONENTS (EG LIGHTWEIGHT PARTITIONS, SECONDARY ROOF SLABS)",Building Materials,0.5231720805168152
"TRAINING COURSES FOR HEALTHCARE, EDUCATION, COMMUNITY AND SOCIAL SERVICES",Professional Training & Coaching,0.627231240272522
RETAIL SALE OF ARTIFICIAL FLOWERS AND PLANTS,Luxury Goods & Jewelry,0.4490918815135956
MANUFACTURE OF WINDOW AND DOOR SCREENS AND SHADES,Building Materials,0.40694567561149597
MANUFACTURE OF SIGNS AND ADVERTISING DISPLAYS (INCLUDING NEON-LIGHTING),Marketing & Advertising,0.4288533926010132
PRODUCTION OF PRE-CAST COMPONENTS,Building Materials,0.36417874693870544
RECREATION CLUBS (INCLUDING COUNTRY CLUBS),Recreational Facilities & Services,0.5623087882995605
"INSTALLATION OF DOORS, GATES, GRILLES AND WINDOWS",Architecture & Planning,0.5231915712356567
INSTALLATION OF BUILDING AUTOMATED SYSTEMS FOR REMOTE MONITORING,Industrial Automation,0.4927121698856354
"MANUFACTURE OF PHOTOGRAPHIC FILM, PAPER, PLATE AND CHEMICALS",Motion Pictures & Film,0.538154661655426
OTHER SPECIALISED DESIGN ACTIVITIES N.E.C.,Design,0.5218223333358765
FOOD FISH FARMS,Fishery,0.6262494325637817
MANUFACTURE OF COCOA AND CHOCOLATE POWDER FROM BEANS,Food Production,0.3741828501224518
TILE SETTING AND PLASTERING,Building Materials,0.27045679092407227
RETAIL SALE OF CONFECTIONERY AND BAKERY PRODUCTS (NOT MANUFACTURED ON SITE),Wholesale,0.5092299580574036
REMITTANCE SERVICES,Financial Services,0.4903537631034851
ENGINEERING DESIGN AND CONSULTANCY SERVICES IN ENERGY MANAGEMENT AND CLEAN ENERGY SYSTEMS,Renewables & Environment,0.41073745489120483
MANUFACTURE OF INDUSTRIAL GASES AND DRY ICE,Mining & Metals,0.34736305475234985
MANUFACTURE OF PHOTOGRAPHIC EQUIPMENT AND PARTS (INCLUDING LENSES),Photography,0.549730658531189
MANUFACTURE OF FERTILISERS AND NITROGEN COMPOUNDS,Food Production,0.468633770942688
OTHER CANNING AND PRESERVING OF VEGETABLES AND VEGETABLE JUICES (INCLUDING PICKLES),Food Production,0.39847588539123535
WHOLESALE OF ANTIQUES AND WORKS OF ART,Wholesale,0.6062111258506775
DEFENCE ACTIVITIES  N.E.C.,Defense & Space,0.6390589475631714
MANUFACTURE OF PETROLEUM LUBRICATING OIL,Oil & Energy,0.48201075196266174
DAM AND DRAINAGE CONSTRUCTION,Civil Engineering,0.5116124153137207
EVENT/CONCERT ORGANISERS,Events Services,0.6123928427696228
ONLINE MARKETPLACES FOR REAL ESTATE SERVICES,Commercial Real Estate,0.46151816844940186
JUNIOR COLLEGES AND CENTRALISED PRE-UNIVERSITY INSTITUTES (POST-SECONDARY NON-TERTIARY) INCLUDING COMBINED SECONDARY SCHOOLS AND POST-SECONDARY NON-TERTIARY SCHOOLS,Primary/Secondary Education,0.6202425956726074
RENTING AND LEASING OF BICYCLES AND INLINE/ROLLER SKATES,Recreational Facilities & Services,0.35830652713775635
CROCODILE FARMS,Farming,0.4645931124687195
MARKET RESEARCH AND PUBLIC OPINION POLLING,Market Research,0.7569229006767273
MANUFACTURE OF METAL WIRE AND CABLE PRODUCTS N.E.C.,Mining & Metals,0.4507172107696533
"MANUFACTURE OF NETWORKING PRODUCTS (EG ROUTERS, SWITCHES)",Consumer Electronics,0.49523478746414185
MOVIE PRODUCTION,Media Production,0.6873375773429871
POLISHING OF METALS AND FORMED PRODUCTS,Mining & Metals,0.465004026889801
"REPAIR AND RESTORATION OF CABINETS, FURNITURE, UPHOLSTERY, WINDOW SHADES AND OTHER FIXTURES",Business Supplies & Equipment,0.4629252552986145
WHOLESALE OF TRANSPORT EQUIPMENT EXCEPT MOTOR VEHICLES AND MOTORCYCLES N.E.C.,Wholesale,0.6186541318893433
"TRANSMISSION, DISTRIBUTION AND SALE OF ELECTRICITY",Utilities,0.5641957521438599
"TRAINING COURSES FOR INFORMATION AND COMMUNICATIONS, FINANCE AND PROFESSIONAL SERVICES",Professional Training & Coaching,0.649364709854126
AERIAL CABLEWAYS (INCLUDING CABLE CAR SERVICES),Airlines/Aviation,0.3340461850166321
FITNESS CENTRES AND GYMNASIUMS,Facilities Services,0.5567179918289185
